;ano;titulo;autores;idioma
10;2001;Log-normal Distributions across the Sciences: Keys and Clues;E. Limpert, Werner A. Stahel, MARKUS ABBT;en
11;2017;Global, regional, and national deaths, prevalence, disability-adjusted life years, and years lived with disability for chronic obstructive pulmonary disease and asthma, 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015;Joan B. Soriano, Amanuel Alemu Abajobir, Kalkidan Hassen Abate, Semaw Ferede Abera, Anurag Agrawal, Muktar Beshir Ahmed, Amani Nidhal Aichour, Ibtihel Aichour, Miloud Taki Eddine Aichour, Khurshid Alam, Noore Alam, Juma Alkaabi, Fatma Al‐Maskari, Nelson Alvis‐Guzmán, Alemayehu Amberbir, Yaw Ampem Amoako, Mustafa Geleto Ansha, Josep M. Antó, Hamid Asayesh, Tesfay Mehari Atey, Euripide Avokpaho, Aleksandra Barać, Sanjay Basu, Neeraj Bedi, Isabela M. Benseñor, Adugnaw Berhane, Addisu Shunu Beyene, Zulfiqar A Bhutta, Stan Biryukov, Dube Jara Boneya, Michael Bräuer, David O. Carpenter, Daniel Casey, Devasahayam Jesudas Christopher, Lalit Dandona, Rakhi Dandona, Samath Dhamminda Dharmaratne, Huyen Phuc, Florian Fischer, Tsegaye Tsewelde Gebrehiwot, Ayele Geleto, Aloke Gopal Ghoshal, Richard F Gillum, Ibrahim Ginawi, Vipin Gupta, Simon I Hay, Mohammad Taghi Hedayati, Nobuyuki Horita, Hung Chak Ho, Mihajlo Jakovljević, Spencer L James, Jost B Jonas, Amir Kasaeian, Yousef Khader, Fakher Rahim, Ejaz Ahmad Khan, Young‐Ho Khang, Jagdish Khubchandani, Luke D. Knibbs, Soewarta Kosen, Parvaiz A Koul, G Anil Kumar, Cheru Tesema Leshargie, Xiaofeng Liang, Hassan Magdy Abd El Razek, Azeem Majeed, Déborah Carvalho Malta, Treh Manhertz, Neal Marquez, Alem Mehari, George A. Mensah, Ted R. Miller, Karzan Abdulmuhsin Mohammad, Kedir Endris Mohammed, Shafiu Mohammed, Ali H. Mokdad, Mohsen Naghavi, Cuong Tat Nguyen, Grant Nguyen, Quyen Le Nguyen, Trang Huyen Nguyen, Dina Nur Anggraini Ningrum, Vuong Minh Nong, Jennifer Ifeoma, Yewande Odeyemi, Felix Akpojene Ogbo, Eyal Oren, P A Mahesh, Eun‐Kee Park, George Patton, Katherine Paulson, Mostafa Qorbani, Reginald Quansah, Anwar Rafay, Mohammad Hifz Ur Rahman, Rajesh Kumar, Salman Rawaf, Nik Reinig, Saeid Safiri, Rodrigo Sarmiento-Suárez;en
12;2017;Global, regional, and national comparative risk assessment of 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016;Emmanuela Gakidou, Ashkan Afshin, Amanuel Alemu Abajobir, Kalkidan Hassen Abate, Cristiana Abbafati, Kaja Abbas, Foad Abd-Allah, Abdishakur Abdulle, Semaw Ferede Abera, Victor Aboyans, Laith J. Abu‐Raddad, Niveen M. E. Abu-Rmeileh, Gebre Yitayih Abyu, Isaac Akinkunmi Adedeji, Olatunji Adetokunboh, Mohsen Afarideh, Anurag Agrawal, Sutapa Agrawal, Hamid Ahmadieh, Muktar Beshir Ahmed, Miloud Taki Eddine Aichour, Amani Nidhal Aichour, Ibtihel Aichour, Rufus Akinyemi, Nadia Akseer, Fares Alahdab, Ziyad Al‐Aly, Khurshid Alam, Noore Alam, Shazia Alam, Deena Alasfoor, Kefyalew Addis Alene, Komal Ali, Reza Alizadeh‐Navaei, Ala’a Alkerwi, François Alla, Peter Allebeck, Rajaa Al‐Raddadi, Ubai Alsharif, Khalid A Altirkawi, Nelson Alvis‐Guzmán, Azmeraw T. Amare, Erfan Amini, Walid Ammar, Yaw Ampem Amoako, Hossein Ansari, Josep M. Antó, Carl Abelardo T. Antonio, Palwasha Anwari, Nicholas Arian, Johan Ärnlöv, Al Artaman, Krishna Kumar Aryal, Hamid Asayesh, Solomon Weldegebreal Asgedom, Tesfay Mehari Atey, Leticia Ávila‐Burgos, Euripide Avokpaho, Ashish Awasthi, Peter Azzopardi, Umar Bacha, Alaa Badawi, Kalpana Balakrishnan, Shoshana H. Ballew, Aleksandra Barać, Ryan M Barber, Suzanne Barker‐Collo, Till Bärnighausen, Sı́món Barquera, Lars Barregård, Lope H. Barrero, Carolina Batis, Katherine E. Battle, Blair R Baumgarner, Bernhard T. Baune, Justin Beardsley, Neeraj Bedi, Ettore Beghi, Michelle L. Bell, Derrick Bennett, James R. Bennett, Isabela M. Benseñor, Adugnaw Berhane, Derbew Fikadu Berhe, Eduardo Bernabé, Balem Demtsu Betsu, Mircea Beuran, Addisu Shunu Beyene, Anil Bhansali, Zulfiqar A Bhutta, Burcu Küçük Biçer, Boris Bikbov, Charles Birungi, Stan Biryukov, Christopher D. Blosser, Dube Jara Boneya, Ibrahim R. Bou-Orm, Michael Bräuer, Nicholas J. K. Breitborde, Hermann Brenner;en
13;2011;The green, blue and grey water footprint of crops and derived crop products;Mesfin M. Mekonnen, Arjen Y. Hoekstra;en
14;2016;Global, regional, and national disability-adjusted life-years (DALYs) for 315 diseases and injuries and healthy life expectancy (HALE), 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015;Nicholas J Kassebaum, Megha Arora, Ryan M Barber, Zulfiqar A Bhutta, Austin Carter, Daniel Casey, Daniel Casey, Fiona Charlson, Megan Coggeshall, Megan Coggeshall, Lalit Dandona, Daniel Dicker, Holly E Erskine, Alize J Ferrari, Christina Fitzmaurice, Kyle J Foreman, Mohammad H. Forouzanfar, Nancy Fullman, Peter W. Gething, Ellen M Goldberg, Nicholas Graetz, Juanita A. Haagsma, Catherine O. Johnson, Laura Kemmer, Fakher Rahim, Yohannes Kinfu, Michael Kutz, Yohannes Kinfu, Janni Leung, Xiaofeng Liang, Stephen S Lim, Rafael Lozano, George A. Mensah, Joe Mikesell, Ali H. Mokdad, Meghan Mooney, Mohsen Naghavi, Grant Nguyen, Elaine O. Nsoesie, David M. Pigott, Christine Pinho, Zane Rankin, Nikolas Reinig, Joshua A. Salomon, Heresh Amini, Hanne Christensen, Rasmus Worsøe Havmøller, A. Gordon Smith, Walid Ammar, Jeffrey Stanaway, Caitlyn Steiner, Stephanie Teeple, Chris Troeger, Thomas Truelsen, Amelia VanderZanden, Joseph A Wagner, Valentine Wanga, Harvey A Whiteford, Maigeng Zhou, Leo Zoeckler, Amanuel Alemu Abajobir, Kalkidan Hassen Abate, Cristiana Abbafati, Kaja M Abbas, Foad Abd-Allah, Biju Abraham, Ibrahim Abubakar, Laith J Abu-Raddad, Niveen M E Abu-Rmeileh, Tom Achoki, Ilana N Ackerman, Akindele Olupelumi Adebiyi, Isaac Akinkunmi Adedeji, José C Adsuar, Kossivi Agbelenko Afanvi, Ashkan Afshin, Emilie Elisabet Agardh, Arnav Agarwal, Sanjay Kumar Agarwal, Muktar Beshir Ahmed, Aliasghar Ahmad Kiadaliri, Hamid Ahmadieh, Nadia Akseer, Ziyad Al-Aly, Khurshid Alam, Noore K M Alam, Saleh Fahed Aldhahri, Miguel Angel Alegretti, Alicia V Aleman, Zewdie Aderaw Alemu, Lily T Alexander, Raghib Ali, Ala'a Alkerwi, François Alla, Peter Allebeck, Christine Allen, Ubai Alsharif, Khalid A Altirkawi, Elena Alvarez Martin, Nelson Alvis-Guzman;en
15;2014;Wearable Electronics and Smart Textiles: A Critical Review;Matteo Stoppa, Alessandro Chiolerio;en
16;2018;Global, regional, and national burden of traumatic brain injury and spinal cord injury, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016;Spencer L James, Alice Theadom, Richard G. Ellenbogen, Marlena S. Bannick, Wcliff Montjoy-Venning, Lydia R Lucchesi, Nooshin Abbasi, Rizwan Suliankatchi Abdulkader, Haftom Niguse Abraha, José Carmelo Adsuar, Mohsen Afarideh, Sutapa Agrawal, Alireza Ahmadi, Muktar Beshir Ahmed, Amani Nidhal Aichour, Ibtihel Aichour, Miloud Taki Eddine Aichour, Rufus Akinyemi, Nadia Akseer, Fares Alahdab, Animut Alebel, Suliman Alghnam, Beriwan Abdulqadir Ali, Ubai Alsharif, Khalid A Altirkawi, Cătălina Liliana Andrei, Mina Anjomshoa, Hossein Ansari, Mustafa Geleto Ansha, Carl Abelardo T. Antonio, Seth Christopher Yaw Appiah, Filippo Ariani, Nigus Gebremedhin Asefa, Solomon Weldegebreal Asgedom, Suleman Atique, Ashish Awasthi, Beatriz Paulina Ayala Quintanilla, Ayuk Betrand Tambe, Peter Azzopardi, Hamid Badali, Alaa Badawi, Shivanthi Balalla, Amrit Banstola, Suzanne Barker‐Collo, Till Bärnighausen, Neeraj Bedi, Masoud Behzadifar, Meysam Behzadifar, Bayu Begashaw Bekele, Abate Bekele Belachew, Yihalem Abebe Belay, Derrick Bennett, Isabela M. Benseñor, Adugnaw Berhane, Mircea Beuran, Ashish Bhalla, Soumyadeep Bhaumik, Zulfiqar A Bhutta, Belete Biadgo, Marco Biffino, Ali Bijani, Nigus Bililign, Charles Birungi, Soufiane Boufous, Alexandra Bražinová, Allen W. Brown, Mate Car, Rosario Cárdenas, Juan Jesús Carrero, Félix Carvalho, Carlos A Castañeda-Orjuela, Ferrán Catalá-López, Yazan Chaiah, Ana Paula Silva Champs, Jung‐Chen Chang, Jee-Young Jasmine Choi, Devasahayam Jesudas Christopher, Cyrus Cooper, Christopher S. Crowe, Lalit Dandona, Rakhi Dandona, Ahmad Daryani, Dragoş Virgil Daviţoiu, Meaza Girma Degefa, Gebre Teklemariam Demoz, Kebede Deribe, Shirin Djalalinia, Huyen Phuc, David Teye Doku, Thomas M Drake, Manisha Dubey, Eleonora Dubljanin, Ziad El‐Khatib, Richard Ofori‐Asenso, Sharareh Eskandarieh, Alireza Esteghamati, Sadaf Esteghamati, André Faro, Farshad Farzadfar, Mohammad Hosein Farzaei;en
17;2020;The global, regional, and national burden of cirrhosis by cause in 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017;Sadaf G Sepanlou, Saeid Safiri, Catherine Bisignano, Kevin S Ikuta, Shahin Merat, Mehdi Saberifiroozi, Hossein Poustchi, Derrick Tsoi, Danny V. Colombara, Amir Abdoli, Rufus Adesoji Adedoyin, Mohsen Afarideh, Sutapa Agrawal, Sohail Ahmad, Elham Ahmadian, Ehsan Ahmadpour, Tomi Akinyemiju, Chisom Joyqueenet Akunna, Vahid Alipour, Amir Almasi‐Hashiani, Abdulaziz M. Almulhim, Rajaa Al‐Raddadi, Nelson Alvis‐Guzmán, Nahla Anber, Colin Angus, Amir Anoushiravani, Jalal Arabloo, Ephrem Mebrahtu Araya, Daniel Asmelash, Bahar Ataeinia, Zerihun Ataro, Maha Atout, Floriane Ausloos, Ashish Awasthi, Alaa Badawi, Maciej Banach, Diana Fernanda Bejarano Ramírez, Akshaya Srikanth Bhagavathula, Neeraj Bhala, Krittika Bhattacharyya, Antonio Biondi, Srinivasa Rao Bolla, Archith Boloor, Antonio Maria Borzì, Zahid A Butt, Luis LA Alberto Cámera, Ismael Campos‐Nonato, Félix Carvalho, Dinh‐Toi Chu, Sheng‐Chia Chung, Paolo Angelo Cortesi, Vera Marisa Costa, Elizabeth Robinson, Ahmad Daryani, Barbora de Courten, Gebre Teklemariam Demoz, Rupak Desai, Samath Dhamminda Dharmaratne, Shirin Djalalinia, Hoa Do, Fariba Dorostkar, Thomas M Drake, Manisha Dubey, Bruce Bartholow Duncan, Andem Effiong, Aziz Eftekhari, Aisha Elsharkawy, Arash Etemadi, Mohammad Farahmand, Farshad Farzadfar, Eduarda Fernandes, Irina Filip, Florian Fischer, Ketema Bizuwork Gebremedhin, Birhanu Geta, Syed Amir Gilani, Paramjit Gill, Reyna Alma Gutirrez, Michael Tamene Haile, Arvin Haj‐Mirzaian, Saeed Hamid, Milad Hasankhani, Amir Hasanzadeh, Maryam Hashemian, Hamid Yimam Hassen, Simon I Hay, Khezar Hayat, Behnam Heidari, Andualem Henok, Chi Linh Hoang, Mihaela Hostiuc, Sorin Hostiuc, Vivian Chia-Rong Hsieh, Ehimario Igumbor, Olayinka Stephen Ilesanmi, Seyed Sina Naghibi Irvani, Nader Jafari Balalami, Spencer L James, Panniyammakal Jeemon, Ravi Prakash Jha;en
18;2021;Spatial, temporal, and demographic patterns in prevalence of smoking tobacco use and attributable disease burden in 204 countries and territories, 1990–2019: a systematic analysis from the Global Burden of Disease Study 2019;Marissa B Reitsma, Parkes Kendrick, Emad Ababneh, Cristiana Abbafati, Mohsen Abbasi‐Kangevari, Amir Abdoli, Aidin Abedi, E S Abhilash, Derrick Bary Abila, Victor Aboyans, Niveen ME Abu-Rmeileh, Oladimeji Adebayo, Shailesh M Advani, Mohammad Aghaali, Bright Opoku Ahinkorah, Sohail Ahmad, Keivan Ahmadi, Haroon Ahmed, Budi Aji, Chisom Joyqueenet Akunna, Ziyad Al‐Aly, Turki M Alanzi, Khalid F. AlHabib, Liaqat Ali, Sheikh Mohammad Alif, Vahid Alipour, Syed Mohamed Aljunid, François Alla, Peter Allebeck, Nelson Alvis‐Guzmán, Tarek Tawfik Amin, GK Mini, Hubert Amu, Gianna Gayle Herrera Amul, Robert Ancuceanu, Jason A Anderson, Alireza Ansari‐Moghaddam, Carl Abelardo T Antonio, Benny Antony, Davood Anvari, Jalal Arabloo, Nicholas Arian, Monika Arora, Malke Asaad, Marcel Ausloos, Asma Awan, Getinet Ayano, Getie Lake Aynalem, Samad Azari, B B Darshan, Ashish Badiye, Atif Amin Baig, Mohammad Hossein Bakhshaei, Maciej Banach, Palash Chandra Banik, Suzanne Barker‐Collo, Till Bärnighausen, Hiba Jawdat Barqawi, Sanjay Basu, Mohsen Bayati, Shahrzad Bazargan‐Hejazi, Masoud Behzadifar, Tariku Tesfaye Bekuma, Derrick Bennett, Isabela M. Benseñor, Kathleen S. Berfield, Akshaya Srikanth Bhagavathula, Nikha Bhardwaj, Pankaj Bhardwaj, Krittika Bhattacharyya, Sadia Bibi, Ali Bijani, Bagas Suryo Bintoro, Antonio Biondi, Setognal Birara Aychiluhm, Dejana Braithwaite, Hermann Brenner, André R. Brunoni, Katrin Burkart, Zahid A Butt, Florentino Luciano Caetano dos Santos, Luis Alberto Cámera, Josip Car, Rosario Cárdenas, Giulia Carreras, Juan Jesús Carrero, João Maurício Castaldelli-Maia, Maria Sofia Cattaruzza, Jung‐Chen Chang, Simiao Chen, Dinh‐Toi Chu, Sheng‐Chia Chung, Massimo Círillo, Vera Marisa Costa, Rosa A S Couto, Omid Dadras, Xiaochen Dai, Albertino Antonio Moura Damasceno, Giovanni Damiani, Lalit Dandona;en
19;2011;Crops that feed the world 6. Past successes and future challenges to the role played by maize in global food security;Bekele Shiferaw, B. M. Prasanna, Jon Hellin, Marianne Bänziger;en
